user_id,amount,payment_status,payment_method,failure_reason,plan_name,billing_cycle,plan_price,start_date,renewal_date,subscription_status,country,company_size,user_status,event_type,resolution_status,login_count,feature_usage_score,last_active_date,premium_feature_used
4959,3999,Success,UPI,Timeout,Basic,Monthly,999,2023-01-23,2023-02-22,Active,India,SMB,Active,,,110,71,2024-11-27,No
4617,3999,Success,UPI,Timeout,Pro,Monthly,1999,2023-03-03,2024-03-02,Active,India,Enterprise,Active,Complaint,Closed,91,89,2024-09-12,Yes
4617,3999,Success,UPI,Timeout,Pro,Monthly,1999,2023-03-03,2024-03-02,Active,India,Enterprise,Active,Refund,Open,91,89,2024-09-12,Yes
1545,3999,Success,Card,Insufficient Funds,Basic,Monthly,999,2022-03-25,2023-03-25,Active,UK,Mid,Inactive,,,110,42,2024-10-02,No
4218,1999,Success,Card,,Basic,Monthly,999,2024-02-04,2024-03-05,Expired,Australia,Mid,Active,Complaint,Closed,35,10,2024-11-30,Yes
4482,3999,Success,Wallet,Gateway Error,Pro,Monthly,1999,2023-09-10,2023-10-10,Active,Australia,Enterprise,Active,,,42,19,2024-11-11,Yes
3414,1999,Success,Card,Insufficient Funds,Premium,Monthly,3999,2022-09-12,2022-10-12,Active,USA,Mid,Active,,,73,79,2024-10-15,Yes
4880,3999,Success,Card,,Premium,Annual,3999,2024-01-27,2025-01-26,Active,USA,SMB,Active,Complaint,Open,40,26,2024-10-09,No
3782,3999,Pending,Card,Timeout,Pro,Monthly,1999,2023-09-27,2023-10-27,Active,UK,Enterprise,Active,,,26,89,2024-09-14,No
919,999,Success,Card,,Basic,Annual,999,2022-07-21,2023-07-21,Active,Germany,Enterprise,Active,,,85,30,2024-10-09,Yes
2430,3999,Success,Card,Insufficient Funds,Pro,Monthly,1999,2022-06-15,2023-06-15,Active,India,SMB,Inactive,,,104,85,2024-11-26,No
3702,1999,Success,Wallet,Timeout,Premium,Monthly,3999,2022-08-05,2023-08-05,Active,USA,Mid,Active,,,49,26,2024-09-03,No
156,999,Success,Wallet,Gateway Error,Pro,Monthly,1999,2023-12-20,2024-01-19,Active,UK,Mid,Active,,,85,54,2024-11-18,Yes
3200,999,Pending,Card,Insufficient Funds,Pro,Annual,1999,2024-01-04,2025-01-03,Cancelled,USA,Mid,Inactive,,,7,23,2024-10-14,Yes
3115,3999,Success,UPI,Gateway Error,Premium,Monthly,3999,2022-01-05,2023-01-05,Active,India,SMB,Active,,,102,69,2024-11-25,No
1599,3999,Success,Wallet,Gateway Error,Premium,Monthly,3999,2022-12-18,2023-01-17,Active,Germany,Mid,Inactive,Complaint,Closed,109,29,2024-11-20,No
2429,999,Success,Card,Insufficient Funds,Basic,Monthly,999,2023-12-03,2024-12-02,Expired,Germany,Mid,Active,,,74,21,2024-11-27,No
1681,999,Success,UPI,,Pro,Monthly,1999,2022-06-11,2023-06-11,Active,Germany,Mid,Active,Complaint,Closed,63,24,2024-09-10,Yes
1956,3999,Success,UPI,Timeout,Pro,Monthly,1999,2023-04-06,2024-04-05,Active,USA,SMB,Active,Complaint,Open,12,99,2024-10-29,Yes
3347,999,Success,Wallet,Insufficient Funds,Premium,Monthly,3999,2022-10-12,2022-11-11,Active,UK,SMB,Active,Downgrade,Closed,89,86,2024-09-10,No
2437,1999,Success,UPI,Insufficient Funds,Pro,Monthly,1999,2022-10-24,2023-10-24,Active,USA,SMB,Inactive,,,106,50,2024-09-06,No
1047,999,Success,UPI,,Premium,Monthly,3999,2023-06-01,2023-07-01,Active,Germany,Enterprise,Active,Complaint,Closed,111,30,2024-11-12,Yes
3948,3999,Success,Card,,Premium,Annual,3999,2022-05-08,2022-06-07,Active,India,Mid,Inactive,,,25,99,2024-09-23,Yes
