payment_id,subscription_id,user_id,payment_date,amount,payment_status,payment_method,failure_reason
50001,15229,4959,2023-10-14,3999,Success,UPI,Timeout
50002,13767,4617,2023-08-20,3999,Success,UPI,Timeout
50003,14617,1545,2023-05-28,3999,Success,Card,Insufficient Funds
50004,13716,4218,2024-01-01,1999,Success,Card,
50005,14522,4482,2023-06-08,3999,Success,Wallet,Gateway Error
50006,12122,3414,2022-05-24,1999,Success,Card,Insufficient Funds
50007,10343,4880,2023-08-04,3999,Success,Card,
50008,14467,3782,2022-11-13,3999,Pending,Card,Timeout
50009,12932,919,2023-02-21,999,Success,Card,
50010,14318,2430,2022-02-20,3999,Success,Card,Insufficient Funds
50011,14736,3702,2023-05-10,1999,Success,Wallet,Timeout
50012,11359,156,2023-09-03,999,Success,Wallet,Gateway Error
50013,12422,3200,2024-06-29,999,Pending,Card,Insufficient Funds
50014,15127,3115,2024-01-18,3999,Success,UPI,Gateway Error
50015,14833,1599,2022-08-25,3999,Success,Wallet,Gateway Error
50016,15236,2429,2023-07-06,999,Success,Card,Insufficient Funds
50017,13175,1681,2024-02-18,999,Success,UPI,
50018,10738,1956,2023-03-05,3999,Success,UPI,Timeout
50019,14661,3347,2024-03-20,999,Success,Wallet,Insufficient Funds
50020,11027,2437,2023-06-21,1999,Success,UPI,Insufficient Funds
50021,14640,1047,2022-10-24,999,Success,UPI,
50022,11104,3948,2022-08-18,3999,Success,Card,
50023,12684,4883,2022-12-10,1999,Success,Card,
50024,14945,3456,2022-02-06,1999,Success,Card,Timeout
50025,10396,3483,2022-10-27,3999,Success,Card,
50026,12940,1835,2023-08-25,999,Failed,Card,Timeout
50027,14485,3353,2024-04-25,3999,Success,Card,Gateway Error
50028,13332,3254,2024-03-03,1999,Failed,UPI,Insufficient Funds
50029,15432,228,2023-02-15,999,Success,Card,
50030,11535,3153,2022-05-31,1999,Failed,UPI,Timeout
50031,10045,2636,2024-03-13,999,Failed,Card,Insufficient Funds
50032,11980,3353,2023-07-23,3999,Success,Wallet,Gateway Error
50033,11865,4810,2023-07-29,1999,Success,UPI,Gateway Error
50034,11808,2812,2023-04-27,3999,Success,Card,Insufficient Funds
50035,12275,174,2023-03-02,1999,Success,UPI,
50036,14445,1399,2024-07-05,999,Success,UPI,Insufficient Funds
50037,12161,3403,2023-04-18,3999,Success,Card,Timeout
50038,13102,3736,2024-04-30,3999,Failed,Card,Timeout
50039,12324,2435,2022-07-07,1999,Success,UPI,Insufficient Funds
50040,13434,3220,2022-06-10,3999,Success,Card,Gateway Error
50041,14822,4439,2022-09-23,3999,Success,Wallet,
50042,13508,1148,2023-04-28,999,Success,UPI,Insufficient Funds
50043,10804,4836,2022-03-21,3999,Success,Wallet,Gateway Error
50044,12070,3556,2023-02-04,3999,Success,UPI,Insufficient Funds
50045,14481,1478,2023-03-12,999,Failed,Wallet,
50046,15141,706,2023-07-14,1999,Success,UPI,Insufficient Funds
50047,10491,3421,2022-05-20,999,Success,UPI,Gateway Error
50048,11480,2501,2024-01-18,1999,Success,Card,Gateway Error
50049,12936,2056,2022-05-07,3999,Success,UPI,Timeout
50050,11704,1890,2023-06-14,999,Success,Wallet,Gateway Error
50051,14317,3445,2024-07-18,1999,Success,UPI,Gateway Error
50052,13666,4663,2023-08-08,999,Success,UPI,
50053,12013,2597,2023-12-20,3999,Success,Card,Insufficient Funds
50054,14687,3529,2022-05-27,1999,Pending,Card,Insufficient Funds
50055,14909,3833,2023-01-17,999,Success,Wallet,
50056,13231,4808,2023-12-03,1999,Success,Wallet,Gateway Error
50057,10143,601,2023-10-31,3999,Pending,Card,Gateway Error
50058,11850,3395,2023-02-20,999,Success,Wallet,Insufficient Funds
50059,14021,3973,2023-01-14,1999,Success,UPI,Timeout
50060,10045,2383,2023-09-22,1999,Success,Wallet,Timeout
50061,10451,122,2023-10-21,1999,Success,Wallet,Gateway Error
50062,11260,476,2023-06-18,3999,Pending,Wallet,Insufficient Funds
50063,11004,4882,2023-09-04,1999,Success,Wallet,
50064,14778,237,2023-06-28,999,Success,Wallet,
50065,15414,2827,2024-05-28,999,Failed,Card,
50066,13352,3914,2022-08-22,3999,Success,Wallet,Gateway Error
50067,11997,1668,2022-03-08,3999,Success,Wallet,Gateway Error
50068,13675,382,2023-10-06,1999,Failed,Wallet,Gateway Error
50069,13489,4485,2024-05-28,3999,Success,UPI,Timeout
50070,14889,1471,2023-12-31,1999,Success,Card,
50071,13654,4790,2023-08-27,1999,Success,Wallet,Gateway Error
50072,13033,3265,2022-12-29,3999,Success,Card,Timeout
50073,11495,4557,2024-02-04,1999,Pending,Card,Timeout
50074,11073,4206,2024-02-18,1999,Success,Wallet,Insufficient Funds
50075,14113,4310,2022-10-18,1999,Success,Card,Insufficient Funds
50076,14245,3725,2022-05-30,1999,Success,Card,Timeout
50077,11579,2511,2022-12-02,999,Failed,Card,Gateway Error
50078,11236,585,2024-04-19,3999,Success,UPI,Gateway Error
