user_id,login_count,feature_usage_score,last_active_date,premium_feature_used
1,58,37,2024-09-15,No
2,70,83,2024-09-11,No
3,93,70,2024-10-16,Yes
4,68,87,2024-11-03,Yes
5,98,32,2024-10-01,Yes
6,54,48,2024-10-22,Yes
7,82,50,2024-10-18,No
8,24,10,2024-11-03,Yes
9,46,45,2024-10-04,Yes
10,118,39,2024-09-11,Yes
11,22,24,2024-10-08,No
12,66,48,2024-12-01,No
13,89,30,2024-09-04,No
14,78,42,2024-10-01,No
15,117,90,2024-11-08,No
16,107,36,2024-11-22,Yes
17,103,34,2024-10-19,Yes
18,83,57,2024-11-06,No
19,89,54,2024-10-29,Yes
20,100,41,2024-11-28,No
21,65,66,2024-11-19,Yes
22,79,88,2024-11-27,Yes
23,89,11,2024-10-15,No
24,50,20,2024-09-20,No
25,10,76,2024-09-13,Yes
26,82,90,2024-09-06,No
27,73,34,2024-09-21,No
28,66,65,2024-10-15,Yes
29,23,51,2024-10-28,Yes
30,72,34,2024-09-28,No
31,49,45,2024-11-06,Yes
32,6,88,2024-11-03,Yes
33,21,65,2024-10-27,Yes
34,7,51,2024-10-02,Yes
35,26,96,2024-11-24,Yes
36,37,98,2024-11-07,No
37,107,28,2024-10-10,Yes
38,60,54,2024-10-18,Yes
39,4,74,2024-10-23,No
40,82,89,2024-11-12,No
41,74,17,2024-10-11,Yes
42,97,37,2024-09-27,Yes
43,115,33,2024-11-07,Yes
44,23,77,2024-09-30,Yes
45,6,73,2024-09-19,Yes
46,71,96,2024-11-05,No
47,60,27,2024-09-17,Yes
48,40,24,2024-11-09,No
49,56,91,2024-10-17,Yes
50,90,62,2024-10-16,No
51,68,52,2024-10-25,Yes
52,4,57,2024-11-19,No
53,97,17,2024-10-15,Yes
54,37,85,2024-10-29,No
55,113,86,2024-10-06,Yes
56,54,97,2024-10-02,Yes
57,36,74,2024-11-22,Yes
58,5,84,2024-10-04,Yes
59,55,21,2024-10-25,Yes
60,54,25,2024-10-12,Yes
61,54,43,2024-09-08,Yes
62,110,25,2024-09-08,Yes
63,93,63,2024-10-14,Yes
64,11,30,2024-10-10,Yes
65,90,73,2024-09-22,No
66,13,47,2024-09-13,Yes
67,29,66,2024-09-25,No
68,15,88,2024-09-10,No
69,46,25,2024-09-12,Yes
70,72,58,2024-10-09,No
71,114,96,2024-10-10,No
72,27,44,2024-09-24,Yes
73,39,34,2024-09-18,Yes
74,69,53,2024-09-19,Yes
75,51,33,2024-09-10,Yes
76,47,13,2024-11-30,No
77,19,79,2024-10-09,Yes
78,5,23,2024-10-28,Yes
79,66,76,2024-09-19,No
80,23,94,2024-10-15,No
81,38,43,2024-11-03,Yes
82,91,11,2024-10-02,No
83,26,16,2024-09-13,No
84,100,44,2024-10-11,Yes
85,104,32,2024-09-05,Yes
86,85,93,2024-11-22,No
87,119,34,2024-11-20,Yes
88,8,77,2024-10-22,Yes
89,40,16,2024-09-26,Yes
90,102,27,2024-10-08,Yes
91,25,66,2024-10-01,Yes
92,72,63,2024-11-04,Yes
93,21,63,2024-10-23,No
94,30,25,2024-09-14,Yes
95,18,20,2024-10-11,No
96,109,86,2024-11-12,Yes
97,92,11,2024-10-11,Yes
98,62,54,2024-09-11,No
99,91,61,2024-11-13,No
100,9,97,2024-10-15,No
101,74,49,2024-10-14,Yes
102,58,79,2024-10-23,No
103,41,49,2024-11-23,No
104,117,37,2024-11-20,No
105,40,34,2024-09-24,Yes
106,97,94,2024-10-04,No
107,74,85,2024-10-25,Yes
108,62,49,2024-10-17,No
109,96,87,2024-10-28,Yes
110,45,30,2024-11-04,Yes
111,14,94,2024-10-01,No
112,18,60,2024-10-12,Yes
113,2,62,2024-09-09,Yes
114,64,98,2024-09-30,Yes
115,100,80,2024-09-08,No
116,75,20,2024-10-01,Yes
117,83,20,2024-10-07,No
118,41,99,2024-11-19,No
119,29,69,2024-09-20,No
120,58,34,2024-10-22,Yes
121,19,17,2024-10-26,Yes
122,105,35,2024-10-14,Yes
123,48,17,2024-09-17,Yes
124,61,87,2024-11-08,No
125,78,97,2024-10-08,No
126,37,19,2024-09-03,Yes
127,56,70,2024-09-22,No
128,87,57,2024-11-22,Yes
129,24,95,2024-10-27,No
130,29,88,2024-11-20,No
131,64,59,2024-09-12,Yes
132,73,12,2024-10-05,Yes
133,18,46,2024-11-25,Yes
134,105,78,2024-09-23,Yes
135,65,75,2024-10-29,Yes
136,24,95,2024-12-01,Yes
137,20,30,2024-11-07,Yes
138,68,83,2024-11-11,No
139,77,89,2024-11-05,Yes
140,14,79,2024-11-03,Yes
141,52,59,2024-09-17,Yes
142,118,47,2024-11-28,No
143,14,17,2024-11-23,No
144,64,55,2024-10-17,No
145,90,65,2024-11-12,No
146,26,74,2024-10-16,No
147,44,99,2024-10-01,Yes
148,53,60,2024-10-20,Yes
149,102,35,2024-09-12,Yes
150,5,81,2024-10-07,No
151,69,85,2024-10-05,Yes
152,5,79,2024-10-07,Yes
153,18,27,2024-11-25,No
154,62,93,2024-10-10,Yes
155,106,44,2024-10-27,No
156,85,54,2024-11-18,Yes
157,51,48,2024-11-15,Yes
158,25,87,2024-09-05,Yes
159,58,39,2024-09-23,No
160,58,60,2024-10-20,Yes
161,102,46,2024-11-07,Yes
162,78,53,2024-09-07,Yes
163,49,33,2024-09-05,No
164,105,90,2024-10-14,Yes
165,107,34,2024-11-07,Yes
166,104,76,2024-10-29,No
167,42,47,2024-10-24,No
168,48,25,2024-11-19,No
169,57,68,2024-09-05,Yes
170,30,51,2024-11-26,No
171,86,14,2024-10-26,Yes
172,18,14,2024-10-19,No
173,115,74,2024-10-26,No
174,74,34,2024-11-23,No
175,88,12,2024-09-06,No
176,92,16,2024-10-16,No
177,112,78,2024-09-18,Yes
178,73,46,2024-10-19,No
179,89,57,2024-09-10,Yes
180,59,98,2024-11-04,Yes
181,16,88,2024-10-20,Yes
182,59,44,2024-10-20,No
183,11,22,2024-09-10,No
184,49,28,2024-10-03,Yes
185,63,87,2024-09-29,No
186,9,49,2024-09-21,Yes
187,60,93,2024-09-24,No
188,73,73,2024-09-24,Yes
189,48,94,2024-10-29,Yes
190,50,24,2024-10-02,No
191,63,71,2024-11-06,No
192,62,36,2024-09-30,No
193,33,57,2024-10-19,Yes
194,113,50,2024-11-19,No
195,3,80,2024-11-11,Yes
196,65,50,2024-10-26,No
197,36,54,2024-10-16,No
198,112,46,2024-12-01,No
199,20,56,2024-10-14,No
200,24,69,2024-09-29,Yes
201,93,44,2024-09-13,Yes
202,118,28,2024-09-28,Yes
203,34,16,2024-10-10,No
204,5,93,2024-09-18,Yes
205,105,55,2024-11-29,No
206,83,58,2024-11-09,Yes
207,60,33,2024-10-22,No
208,98,23,2024-11-11,No
209,66,36,2024-10-11,Yes
210,43,62,2024-11-21,Yes
211,12,78,2024-09-27,No
212,75,26,2024-09-21,No
213,62,85,2024-10-02,Yes
214,112,13,2024-10-30,Yes
215,86,86,2024-10-21,Yes
216,87,16,2024-10-30,Yes
217,40,61,2024-09-22,Yes
218,62,62,2024-10-08,Yes
219,17,42,2024-10-21,Yes
220,109,63,2024-10-19,Yes
221,35,24,2024-10-27,No
222,116,28,2024-10-07,Yes
223,40,34,2024-11-26,Yes
224,74,27,2024-11-30,No
225,27,91,2024-10-14,No
226,11,70,2024-09-08,No
227,58,71,2024-09-16,Yes
228,114,54,2024-11-08,No
229,64,76,2024-11-27,No
230,106,12,2024-09-17,Yes
231,70,70,2024-09-19,No
232,116,75,2024-10-21,Yes
233,72,60,2024-10-20,No
234,15,13,2024-09-09,Yes
235,81,21,2024-10-10,No
236,65,70,2024-09-25,Yes
237,75,80,2024-11-13,No
238,111,54,2024-10-12,Yes
239,28,56,2024-10-13,No
240,42,19,2024-11-25,Yes
241,73,10,2024-09-15,Yes
242,116,54,2024-09-12,No
243,18,65,2024-11-15,Yes
244,12,82,2024-09-21,No
245,77,98,2024-09-22,Yes
246,100,61,2024-11-09,No
247,110,61,2024-10-06,No
248,86,65,2024-11-09,No
249,93,77,2024-10-05,No
250,35,30,2024-11-06,No
251,94,10,2024-10-05,Yes
252,12,94,2024-09-18,No
253,65,72,2024-09-13,Yes
254,55,42,2024-11-12,Yes
255,63,69,2024-11-13,Yes
256,82,17,2024-10-10,Yes
257,80,43,2024-10-29,Yes
258,112,59,2024-10-19,No
259,25,97,2024-11-22,No
260,27,36,2024-09-04,Yes
261,116,76,2024-11-26,Yes
262,13,51,2024-10-02,Yes
263,118,68,2024-10-04,No
264,104,62,2024-10-24,No
265,100,14,2024-11-07,Yes
266,21,65,2024-10-14,Yes
267,7,46,2024-09-09,Yes
268,5,78,2024-09-26,No
269,84,99,2024-10-25,Yes
270,9,60,2024-10-14,Yes
271,71,97,2024-09-14,No
272,2,30,2024-09-19,No
