user_id,signup_date,country,acquisition_channel,company_size,user_status
1,2022-04-13,Australia,Partner,Mid,Active
2,2023-03-12,Australia,Referral,Mid,Active
3,2024-05-10,Germany,Paid,Enterprise,Active
4,2022-09-28,USA,Referral,SMB,Active
5,2022-04-17,Germany,Organic,SMB,Active
6,2022-03-13,USA,Organic,Mid,Active
7,2023-12-02,Germany,Referral,SMB,Inactive
8,2022-01-21,Australia,Organic,Enterprise,Inactive
9,2023-09-07,Australia,Paid,Enterprise,Active
10,2022-05-02,India,Partner,SMB,Active
11,2023-04-12,UK,Referral,Enterprise,Inactive
12,2022-08-03,Germany,Paid,Mid,Active
13,2022-11-27,India,Paid,Enterprise,Active
14,2023-04-04,UK,Organic,SMB,Active
15,2022-03-29,Germany,Paid,Mid,Active
16,2023-01-08,USA,Referral,Enterprise,Active
17,2022-04-10,UK,Paid,Mid,Active
18,2024-05-21,Australia,Partner,SMB,Active
19,2023-10-26,India,Paid,Enterprise,Active
20,2022-05-11,UK,Paid,Enterprise,Active
21,2023-10-24,UK,Partner,Mid,Active
22,2022-11-05,Australia,Paid,Enterprise,Active
23,2024-02-09,Germany,Paid,Enterprise,Active
24,2022-12-10,USA,Organic,Enterprise,Active
25,2023-05-07,Australia,Referral,Enterprise,Active
26,2023-02-18,USA,Organic,SMB,Active
27,2024-03-16,Germany,Referral,Enterprise,Active
28,2023-01-21,UK,Partner,Mid,Active
29,2022-07-11,USA,Partner,SMB,Active
30,2022-10-04,India,Partner,Mid,Active
31,2022-06-10,India,Referral,Mid,Active
32,2023-04-05,Australia,Referral,Mid,Active
33,2022-11-10,Germany,Referral,SMB,Active
34,2022-01-22,Australia,Partner,SMB,Active
35,2022-09-10,Australia,Referral,SMB,Active
36,2024-01-18,Australia,Paid,Enterprise,Active
37,2024-05-06,India,Organic,Mid,Active
38,2023-07-15,India,Partner,SMB,Active
39,2023-04-20,Australia,Organic,Mid,Inactive
40,2022-02-28,India,Paid,SMB,Active
41,2023-05-26,Germany,Referral,SMB,Active
