subscription_id,user_id,plan_name,billing_cycle,plan_price,start_date,renewal_date,subscription_status
10001,2337,Pro,Monthly,1999,2023-02-02,2023-03-04,Active
10002,1581,Pro,Monthly,1999,2023-08-31,2024-08-30,Cancelled
10003,1409,Pro,Monthly,1999,2022-04-03,2022-05-03,Active
10004,175,Premium,Annual,3999,2022-04-12,2022-05-12,Active
10005,474,Pro,Annual,1999,2022-04-08,2023-04-08,Active
10006,3433,Premium,Monthly,3999,2022-10-09,2022-11-08,Expired
10007,270,Premium,Monthly,3999,2023-10-30,2024-10-29,Active
10008,2045,Premium,Monthly,3999,2023-10-19,2024-10-18,Active
10009,3196,Pro,Monthly,1999,2023-02-25,2024-02-25,Active
10010,694,Premium,Annual,3999,2022-12-30,2023-12-30,Expired
10011,4472,Basic,Monthly,999,2022-07-30,2022-08-29,Active
10012,1416,Basic,Monthly,999,2023-10-29,2023-11-28,Active
10013,2084,Premium,Annual,3999,2024-01-24,2025-01-23,Active
10014,1236,Pro,Monthly,1999,2023-05-23,2024-05-22,Expired
10015,3968,Basic,Monthly,999,2022-03-17,2022-04-16,Cancelled
10016,1972,Basic,Monthly,999,2022-11-19,2022-12-19,Active
10017,134,Basic,Annual,999,2023-03-28,2023-04-27,Active
10018,2913,Pro,Annual,1999,2023-11-18,2023-12-18,Active
10019,4786,Pro,Monthly,1999,2023-09-15,2024-09-14,Active
10020,841,Basic,Annual,999,2022-01-18,2022-02-17,Active
10021,1462,Premium,Monthly,3999,2022-10-18,2022-11-17,Expired
10022,4935,Basic,Monthly,999,2024-02-25,2025-02-24,Active
10023,3473,Pro,Annual,1999,2024-01-20,2025-01-19,Active
10024,4844,Pro,Monthly,1999,2022-07-17,2022-08-16,Expired
10025,2876,Pro,Monthly,1999,2022-06-11,2023-06-11,Active
10026,2510,Basic,Monthly,999,2023-02-21,2023-03-23,Cancelled
10027,966,Basic,Monthly,999,2023-01-19,2024-01-19,Active
10028,2039,Premium,Monthly,3999,2022-07-19,2022-08-18,Expired
10029,4241,Basic,Monthly,999,2024-01-16,2025-01-15,Cancelled
10030,1851,Premium,Monthly,3999,2023-05-13,2023-06-12,Cancelled
10031,735,Pro,Monthly,1999,2022-02-12,2023-02-12,Active
10032,2454,Pro,Monthly,1999,2022-03-23,2022-04-22,Active
10033,3017,Pro,Annual,1999,2023-06-23,2024-06-22,Expired
10034,3003,Basic,Annual,999,2022-10-31,2023-10-31,Active
